,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Offense
IA,39.0,45.0,49.0,42.0,59.0,74.0,74.0,98.0,45.0,58.0,homicide
IA,1088.0,1115.0,1133.0,1085.0,1147.0,1217.0,1291.0,1329.0,1058.0,1161.0,rape
IA,1294.0,1035.0,1210.0,1181.0,1360.0,1404.0,1552.0,1644.0,913.0,1135.0,robbery
IA,545.0,572.0,619.0,527.0,477.0,529.0,440.0,493.0,387.0,384.0,arson
IA,8494.0,8156.0,8332.0,8340.0,8593.0,8885.0,9475.0,9387.0,7212.0,8508.0,violent-crime
IA,71891.0,75537.0,73024.0,70667.0,68464.0,69294.0,70461.0,70643.0,52125.0,57820.0,property-crime
ID,2513.0,2436.0,2508.0,2468.0,2469.0,2618.0,2900.0,3030.0,2961.0,2947.0,aggravated-assault
ID,7474.0,7765.0,8203.0,7779.0,7324.0,6812.0,7337.0,6684.0,5800.0,4589.0,burglary
ID,25651.0,26702.0,25154.0,23978.0,24071.0,22703.0,22925.0,22599.0,20885.0,18187.0,larceny
ID,1386.0,1383.0,1452.0,1632.0,1732.0,2029.0,2238.0,2264.0,2057.0,1635.0,motor-vehicle-theft
ID,22.0,31.0,28.0,28.0,29.0,30.0,46.0,36.0,31.0,35.0,homicide
ID,685.0,598.0,650.0,664.0,638.0,731.0,772.0,795.0,964.0,839.0,rape
ID,296.0,248.0,324.0,290.0,281.0,234.0,293.0,255.0,238.0,181.0,robbery
ID,275.0,257.0,288.0,245.0,280.0,280.0,232.0,222.0,198.0,177.0,arson
ID,3516.0,3313.0,3510.0,3450.0,3417.0,3613.0,4011.0,4116.0,4194.0,4002.0,violent-crime
ID,34786.0,36107.0,35097.0,33634.0,33407.0,31824.0,32732.0,31769.0,28940.0,24588.0,property-crime
MI,31724.0,28930.0,29045.0,26992.0,27556.0,26367.0,30684.0,30710.0,31108.0,30410.0,aggravated-assault
MI,80374.0,77008.0,70696.0,60750.0,48948.0,44224.0,44174.0,40665.0,36157.0,32122.0,burglary
MI,175241.0,164781.0,163894.0,154366.0,142714.0,137554.0,136878.0,131863.0,123727.0,117591.0,larceny
MI,27690.0,25432.0,25453.0,24347.0,21571.0,19034.0,20441.0,19747.0,18119.0,18445.0,motor-vehicle-theft
MI,580.0,622.0,697.0,621.0,539.0,568.0,588.0,568.0,554.0,554.0,homicide
MI,6886.0,6670.0,6935.0,6571.0,6229.0,6591.0,7154.0,7129.0,7849.0,7094.0,rape
MI,13600.0,12387.0,12321.0,11930.0,9504.0,8966.0,8411.0,7658.0,6648.0,6359.0,robbery
MI,3245.0,2953.0,2710.0,2242.0,1893.0,2176.0,2029.0,2231.0,2005.0,1972.0,arson
MI,52790.0,48609.0,48998.0,46114.0,43828.0,42492.0,46837.0,46065.0,46159.0,44417.0,violent-crime
MI,286550.0,270174.0,262753.0,241705.0,215126.0,202988.0,203522.0,194506.0,180008.0,170130.0,property-crime
UT,3240.0,3185.0,3393.0,3408.0,3112.0,3579.0,3839.0,3660.0,3786.0,3954.0,aggravated-assault
