,index,Unnamed: 0,ori,agency_name,agency_type_name,state_name,state_abbr,division_name,region_name,region_desc,county_name,nibrs,latitude,longitude,nibrs_start_date,Cases
161,15361,15361,KS0070200,Horton Police Department,City,Kansas,KS,West North Central,Midwest,Region II,BROWN,True,39.825931,-95.569905,01/01/2000,127.0
162,15362,15362,KS0700000,Osage County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,OSAGE,True,38.648409,-95.707596,01/01/2000,78.0
163,15363,15363,KS0400400,Sedgwick Police Department,City,Kansas,KS,West North Central,Midwest,Region II,SEDGWICK; HARVEY,True,38.050144,-97.436706,08/01/2005,15.0
164,15364,15364,KS0081200,Butler Community College,University or College,Kansas,KS,West North Central,Midwest,Region II,BUTLER,True,37.773649,-96.83884,01/01/2016,
165,15366,15366,KS0930200,St. John Police Department,City,Kansas,KS,West North Central,Midwest,Region II,STAFFORD,True,38.03563,-98.719889,01/01/2000,
166,15367,15367,KS0462400,Lake Quivira Police Department,City,Kansas,KS,West North Central,Midwest,Region II,WYANDOTTE; JOHNSON,True,38.883907,-94.82233,05/01/2000,7.0
167,15368,15368,KS0850200,Assaria Police Department,City,Kansas,KS,West North Central,Midwest,Region II,SALINE,True,38.786327,-97.650153,01/01/2011,
168,15369,15369,KS0460100,Fairway Police Department,City,Kansas,KS,West North Central,Midwest,Region II,JOHNSON,True,39.033836,-94.616585,01/01/2000,
169,15370,15370,KS0890900,Topeka Fire Department Arson Investigation,Other,Kansas,KS,West North Central,Midwest,Region II,SHAWNEE,True,39.053974,-95.66599,01/01/2000,
170,15371,15371,KS0940000,Stanton County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,STANTON,True,37.565932,-101.789383,01/01/2000,
171,15372,15372,KS0780000,Reno County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,RENO,True,38.053444,-97.93571,01/01/2000,1100.0
172,15374,15374,KS0290300,Spearville Police Department,City,Kansas,KS,West North Central,Midwest,Region II,FORD,True,37.688365,-99.884734,01/01/2010,
173,15375,15375,KS0990500,Maple Hill Police Department,City,Kansas,KS,West North Central,Midwest,Region II,WABAUNSEE,False,38.955154,-96.201262,01/01/2000,
174,15376,15376,KS0860000,Scott County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,SCOTT,True,38.48251,-100.90089,01/01/2000,
